marca,modelo,ano,preco_brl,categoria,conector,url
bmw,i4 m50,2024,460900.0,BEV,CCS2,https://carregados.com.br/carros/bmw-i4-m50-m-performance-2024-azul-13000km-27183
byd,dolphin,2025,154700.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-plus-2025-azul-37000km-27185
byd,dolphin,2025,115900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2025-branco-19638km-27187
byd,dolphin,2027,147980.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-gs-2027-cinza-0km-27188
volvo,ex30,2024,203900.0,BEV,CCS2,https://carregados.com.br/carros/volvo-ex30-single-motor-2024-preto-8813km-27190
volvo,xc40 recharge,2024,179900.0,BEV,CCS2,https://carregados.com.br/carros/volvo-xc40-recharge-core-2024-branco-8141km-27192
volvo,ex30,2024,203900.0,BEV,CCS2,https://carregados.com.br/carros/volvo-ex30-single-motor-2024-branco-7375km-27193
volvo,ex30,2024,199900.0,BEV,CCS2,https://carregados.com.br/carros/volvo-ex30-single-motor-2024-branco-18022km-27194
geely,ex5,2026,208990.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex5-max-2026-prata-3000km-27195
volvo,ex30,2024,215900.0,BEV,CCS2,https://carregados.com.br/carros/volvo-ex30-single-motor-2024-branco-14233km-27197
porsche,taycan,2025,769900.0,BEV,CCS2,https://carregados.com.br/carros/porsche-taycan-4-cross-turismo-2025-preto-6000km-27199
leapmotor,c10,2026,192900.0,BEV,CCS2,https://carregados.com.br/carros/leapmotor-c10-reev-2026-cinza-5602km-27200
geely,ex2,2026,126900.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex2-pro-2026-branco-0km-27202
byd,dolphin mini,2027,120900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-0km-27203
byd,dolphin mini,2025,88900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-plus-2025-branco-39800km-27204
byd,seal,2025,237990.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2025-preto-12222km-27206
byd,dolphin mini,2027,126900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-branco-0km-27207
nissan,leaf,2023,104990.0,BEV,CHAdeMO,https://carregados.com.br/carros/nissan-leaf-s-2023-cinza-44000km-27208
byd,dolphin mini,2027,125900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-preto-0km-27209
byd,king dm-i,2025,138900.0,PHEV,CCS2,https://carregados.com.br/carros/byd-king-dm-i-gl-2025-preto-38000km-27210
jac,e-js1,2026,104900.0,BEV,GB/T,https://carregados.com.br/carros/jac-e-js1-e-js1-2026-cinza-27000km-27212
bmw,ix,2024,449950.0,BEV,CCS2,https://carregados.com.br/carros/bmw-ix-2024-preto-24880km-27213
byd,seal,2024,205990.0,BEV,CCS2,https://carregados.com.br/carros/byd-seal-2024-branco-29000km-27214
zeekr,x,2025,229490.0,BEV,CCS2,https://carregados.com.br/carros/zeekr-x-premium-rwd-2025-branco-800km-27216
byd,dolphin mini,2027,124900.0,BEV,CCS2,https://carregados.com.br/carros/byd-dolphin-mini-2027-azul-0km-27218
geely,ex5,2026,224900.0,BEV,CCS2,https://carregados.com.br/carros/geely-ex5-max-2026-preto-0km-27219
volvo,xc40 recharge,2024,174900.0,BEV,CCS2,https://carregados.com.br/carros/volvo-xc40-recharge-core-2024-preto-19292km-27221
mini,cooper elétrico,2023,139990.0,BEV,CCS2,https://carregados.com.br/carros/mini-cooper-eletrico-cooper-se-2023-preto-43000km-27224
